"","workerid","simulatedAnswer","item","normResponse0","normResponse1","simRank1","obj1","Answer.score_quiz3","guessRank1","utterance","blockNr","pref1","guessRank2","numFeatures","certainty","targetUttCode","simPreference2","order1","order2","targetFeature","response0","Answer.score_quiz1","response1","obj3","order0","pref0","trialNum","Answer.time_in_minutes","sex","response2","simPreference0","featuresPresent","evalNum","simPreference1","obj2","simRank2","uttCode","targetFeatureNum","simRank0","guessRank0","pref2","normResponse2","Answer.score_quiz2","assess","enjoyment","education","age","comments","language","gender"
"1",0,232,6121,0.407407407407407,0.555555555555555,"green",231,4,"red","polka-dotted",0,"red","blue",3,0.7,"322b-2",0.5,231,232,"color",0.55,3,0.75,232,212,"blue",0,7.6622,"male",0.05,0,"['circle', 'solid', 'polka-dotted']",2,1,212,"blue","322b",3,"red","green","green",0.037037037037037,3,"Yes",2,3,26,NA,"english","Male"
"2",0,122,14001,0.285714285714286,0.404761904761905,"green",221,4,"red","cloud",0,"red","blue",3,0.7,"321-3",0.5,123,221,"color",0.6,3,0.85,123,122,"blue",1,7.6622,"male",0.65,0,"['cloud', 'circle', 'striped']",2,1,122,"blue","321",3,"red","green","green",0.30952380952381,3,"Yes",2,3,26,NA,"english","Male"
"3",0,322,4232,0.333333333333333,0.666666666666667,"green",221,4,"red","striped",0,"red","blue",4,0.7,"22a2b-2a",0.5,312,221,"color",0.45,3,0.9,322,322,"blue",2,7.6622,"male",0,0,"['circle', 'square', 'solid', 'striped']",2,1,312,"blue","22a2b",3,"red","green","green",0,3,"Yes",2,3,26,NA,"english","Male"
"4",0,213,10392,0.275,0.35,"green",221,4,"red","circle",0,"red","blue",4,0.7,"22b1-3",0.5,122,221,"color",0.55,3,0.7,213,213,"blue",3,7.6622,"male",0.75,0,"['cloud', 'circle', 'solid', 'striped']",2,1,122,"blue","22b1",3,"red","green","green",0.375,3,"Yes",2,3,26,NA,"english","Male"
"5",0,322,7771,0,0.4,"striped",131,4,"striped","square",1,"striped","solid",4,0.75,"22a2b-2b",0,131,332,"texture",0,3,0.6,332,322,"solid",0,7.6622,"male",0.9,1,"['cloud', 'square', 'blue', 'red']",0,0.5,322,"polka-dotted","22a2b",2,"solid","polka-dotted","polka-dotted",0.6,3,"Yes",2,3,26,NA,"english","Male"
"6",0,121,23091,0,0.612903225806452,"striped",121,4,"striped","blue",1,"striped","solid",4,0.75,"22a2b-2a",0,233,221,"texture",0,3,0.95,233,121,"solid",1,7.6622,"male",0.6,1,"['cloud', 'circle', 'blue', 'green']",0,0.5,221,"polka-dotted","22a2b",2,"solid","polka-dotted","polka-dotted",0.387096774193548,3,"Yes",2,3,26,NA,"english","Male"
"7",0,312,6371,0.3,0.35,"striped",312,4,"striped","red",1,"striped","solid",4,0.75,"311-3",0,122,232,"texture",0.6,3,0.7,232,312,"solid",2,7.6622,"male",0.7,1,"['cloud', 'circle', 'square', 'red']",0,0.5,122,"polka-dotted","311",2,"solid","polka-dotted","polka-dotted",0.35,3,"Yes",2,3,26,NA,"english","Male"
"8",0,323,28681,0,0.366666666666667,"striped",132,4,"striped","green",1,"striped","solid",4,0.75,"22a2b-2b",0,132,323,"texture",0,3,0.55,333,333,"solid",3,7.6622,"male",0.95,1,"['cloud', 'square', 'red', 'green']",0,0.5,323,"polka-dotted","22a2b",2,"solid","polka-dotted","polka-dotted",0.633333333333333,3,"Yes",2,3,26,NA,"english","Male"
"9",1,112,20660,0.394736842105263,0.289473684210526,"polka-dotted",131,0,"polka-dotted","red",0,"striped","striped",4,0.7,"321-2",0.5,131,133,"texture",0.75,3,0.55,133,112,"solid",0,12.1046,"male",0.6,0,"['cloud', 'blue', 'red', 'green']",0,1,112,"solid","321",2,"striped","solid","polka-dotted",0.315789473684211,1,"Yes",1,3,32,"nice","english","Female"
"10",1,323,19301,0.333333333333333,0.393939393939394,"polka-dotted",131,0,"polka-dotted","green",0,"striped","striped",4,0.7,"22b1-3",0.5,131,113,"texture",0.55,3,0.65,323,323,"solid",1,12.1046,"male",0.45,0,"['cloud', 'square', 'blue', 'green']",0,1,113,"solid","22b1",2,"striped","solid","polka-dotted",0.272727272727273,1,"Yes",1,3,32,"nice","english","Female"
"11",1,222,6480,0.45,0.275,"polka-dotted",212,0,"polka-dotted","circle",0,"striped","striped",2,0.7,"331-3",0.5,212,222,"texture",0.9,3,0.55,232,232,"solid",2,12.1046,"male",0.55,0,"['circle', 'red']",0,1,222,"solid","331",2,"striped","solid","polka-dotted",0.275,1,"Yes",1,3,32,"nice","english","Female"
"12",1,322,7820,0.371428571428571,0.257142857142857,"polka-dotted",312,0,"polka-dotted","red",0,"striped","striped",2,0.7,"331-3",0.5,332,312,"texture",0.65,3,0.45,332,322,"solid",3,12.1046,"male",0.65,0,"['square', 'red']",0,1,322,"solid","331",2,"striped","solid","polka-dotted",0.371428571428571,1,"Yes",1,3,32,"nice","english","Female"
"13",1,222,14200,0.4,0.2,"cloud",122,0,"cloud","striped",1,"circle","square",3,0.35,"322b-2",0,123,122,"shape",0.7,3,0.35,123,222,"cloud",0,12.1046,"male",0.7,0.5,"['striped', 'red', 'green']",3,1,222,"square","322b",1,"circle","circle","square",0.4,1,"Yes",1,3,32,"nice","english","Female"
