gender,education,enjoyment,workerid,assess,age,language,comments
Male,3,1,0,Yes,41,English,
Male,1,1,1,Yes,35,English,"The stories were told in a slow manner, but otherwise it was an interesting experiment."
Male,2,2,2,Yes,40,English,
Male,3,1,3,Yes,39,English,
Female,2,1,4,Yes,39,English,It was kind of fun. 
Female,3,1,5,Yes,27,english,
Female,2,1,6,Yes,42,English,
Male,3,2,7,Yes,40,english,
Male,3,1,8,Yes,29,English,
Male,1,0,9,Yes,29,englsih,
Male,3,1,10,Yes,29,English,
Male,1,1,11,Yes,24,English,
Female,3,2,12,Yes,63,English,Very interesting experiment. 
Female,3,2,13,Yes,29,English,"This was fun, thanks."
Female,3,2,14,No,35,English,
Male,1,1,15,Yes,43,English,
Male,3,2,16,Yes,48,English,Thank you for the fun study!
Male,3,1,17,Yes,33,English,
Male,2,1,18,Yes,35,English,
Male,2,1,19,Yes,47,English,
Male,3,1,20,Confused,29,English,
Male,4,1,21,No,37,English,no comments
Female,2,1,22,No,38,English,"Thanks, this was fun!"
Male,2,1,23,Yes,54,English,
Male,4,2,24,Yes,30,English,
Male,1,2,25,Yes,38,english,It was certainly a very interesting task to have taken part in.
Female,2,1,26,Yes,39,English,
Male,1,1,27,Yes,37,English,I have no comments.
Female,3,1,28,Yes,26,English,
Female,3,1,29,Yes,36,english,
,1,0,30,Yes,41,United States,
Female,2,0,31,Yes,45,English,
Male,2,0,32,Yes,33,English,
Female,1,1,33,Yes,33,english,
,-1,-1,34,Yes,,,
Female,3,2,35,Yes,40,English,A fun study. 
Female,3,2,36,Yes,33,english,
Female,3,0,37,Yes,29,English,
Female,2,0,38,Yes,35,,
Female,3,1,39,Yes,68,English,none
Male,1,1,40,No,30,English,
Male,2,1,41,Yes,55,English,
Female,3,2,42,Yes,55,english,I enjoyed thinking about the language used - during the experiment I became aware of being able to hear some of the questions and answers in more than one way. Thanks
Female,1,2,43,Yes,64,ENGLISH,
Female,3,1,44,Confused,32,english,
Male,2,1,45,Yes,30,english,
Female,3,1,46,Yes,28,English,I almost ran out of time! it was taking a bit of time for clips to play which was stressful. 
Male,3,0,47,No,39,English,
Male,3,2,48,Yes,37,english,"I have none, thanks!"
Male,4,1,49,Yes,32,English,
Male,3,1,50,Yes,25,english,
Male,3,2,51,Yes,31,English,Thank you 
Female,4,1,52,Yes,50,English,"The videos were well designed but potentially confusing. I believe I followed the directions correctly, in which case having a different question in the video area could prove confusing to those, like me, who followed the wording in the actual question. The different questions sometimes seemed contradictory. Hope that makes sense."
Male,1,2,53,Yes,25,English,N/A
Male,3,2,54,Yes,32,English,
Female,1,1,55,Yes,37,english,
Female,3,1,56,Yes,60,English,Thank you!
Male,3,1,57,Yes,37,English,It fun change of pace
Male,2,1,58,Yes,56,en,
Male,1,0,59,Yes,30,english,
Male,2,2,60,Yes,31,English,Great experiment overall! I can see this being especially fun for kids or adults doing with children. Great idea.
Female,3,2,61,Yes,38,English,Its interesting and different study.It was fun and enjoyable.
Male,3,1,62,Yes,22,English,
Female,3,1,63,Yes,30,English,"I was a bit confused at first in the trial examples, but quickly got the hang of it. I get the impression I might be contributing to a children's logic curriculum or something!"
Male,2,2,64,Yes,44,English,FUN HIT!  Thanks for the HIT!  I did my best and hope the data is useful!
Male,3,1,65,Yes,38,English,n/a- thanks
Female,2,1,66,Yes,32,english,
Male,3,1,67,Yes,46,english,
Female,3,1,68,Yes,45,English,For the two trials at the beginning the pictures disappeared when answering the questions unlike the actual study. So the second one I was hoping I remembered which of the Dora characters received what. I might have been wrong on the answer for that trial since there was no picture at the end to reference. 
Female,2,1,69,Yes,38,ENGLISH,
Female,2,2,70,Yes,70,English,"Thank you
Very amusing and fun"
Male,1,2,71,Yes,31,english,no comments
Male,1,1,72,Yes,33,english,ty will leave positive feedback once approved
Female,3,2,73,Yes,26,english,I really enjoyed this. It was really different and fun
Male,3,1,74,Yes,30,English,It wasn't exciting but it was fun.
Male,3,2,75,Yes,32,English,None
Female,4,2,76,Yes,38,English,"I listened very carefully and realized on the last one I should have said yes for Candyland since they all played it. I am sorry I clicked the wrong slider. I think after so many scenarios, my mind was getting confused. I enjoyed this very much, I just felt overwhelmed by the end."
Female,4,1,77,Yes,34,English,None
Female,3,2,78,Yes,44,English,"I wouldn't exactly say it was exciting, but it wasn't boring, and it was better than average."
Male,1,0,79,Yes,21,english,
