Answer.condition,responseTime,Answer.time_in_minutes,topicType,objectType,itemType,item,scope,endTime,Answer.justification,response,workerid,startTime,slide_number,type
undefined,3559,13.482066666666666,,,practice,practice1,,1569426223529,undefined,0.97,0,1569426219970,3,practice
undefined,4245,13.482066666666666,,,practice,practice2,,1569426251369,undefined,0.98,0,1569426247124,4,practice
undefined,6313,13.482066666666666,SubjectTopic,Individual,control,control4,surface,1569426319409,undefined,0.02,0,1569426313096,6,trial
undefined,2226,13.482066666666666,SubjectTopic,Individual,control,control1,inverse,1569426383913,undefined,0.97,0,1569426381687,7,trial
undefined,6894,13.482066666666666,ObjectTopic,Set,test,princesses,inverse,1569426436449,undefined,0.97,0,1569426429555,8,trial
undefined,3214,13.482066666666666,SubjectTopic,Individual,control,control6,surface,1569426507281,undefined,0.03,0,1569426504067,9,trial
undefined,9164,13.482066666666666,ObjectTopic,Set,test,toys,inverse,1569426560201,undefined,0.98,0,1569426551037,10,trial
undefined,2251,13.482066666666666,ObjectTopic,Individual,control,control2,inverse,1569426609608,undefined,0.98,0,1569426607357,11,trial
undefined,2367,13.482066666666666,ObjectTopic,Set,test,games,surface,1569426662385,undefined,0.96,0,1569426660018,12,trial
undefined,2051,13.482066666666666,SubjectTopic,Individual,test,puppies,inverse,1569426723640,undefined,0.98,0,1569426721589,13,trial
undefined,1513,13.482066666666666,ObjectTopic,Individual,control,control5,surface,1569426780385,undefined,0.96,0,1569426778872,14,trial
undefined,1574,13.482066666666666,SubjectTopic,Set,test,fish,surface,1569426824665,undefined,0.97,0,1569426823091,15,trial
undefined,1818,13.482066666666666,SubjectTopic,Set,test,iceCream,surface,1569426872809,undefined,0.98,0,1569426870991,16,trial
undefined,10175,13.482066666666666,ObjectTopic,Set,control,control3,inverse,1569426939784,undefined,0.98,0,1569426929609,17,trial
undefined,7287,15.931666666666667,,,practice,practice1,,1569426682374,undefined,0.7,1,1569426675087,3,practice
undefined,7279,15.931666666666667,,,practice,practice2,,1569426711351,undefined,1,1,1569426704072,4,practice
undefined,12889,15.931666666666667,SubjectTopic,Set,test,fish,inverse,1569426765618,undefined,0.56,1,1569426752729,6,trial
undefined,12617,15.931666666666667,SubjectTopic,Individual,control,control2,surface,1569426820632,undefined,1,1,1569426808015,7,trial
undefined,16865,15.931666666666667,ObjectTopic,Individual,test,iceCream,inverse,1569426882281,undefined,0.31,1,1569426865416,8,trial
undefined,17423,15.931666666666667,ObjectTopic,Individual,test,toys,inverse,1569426942457,undefined,0.76,1,1569426925034,9,trial
undefined,13150,15.931666666666667,SubjectTopic,Individual,control,control4,inverse,1569427005919,undefined,0,1,1569426992769,10,trial
undefined,24718,15.931666666666667,ObjectTopic,Set,test,puppies,surface,1569427098697,undefined,1,1,1569427073979,11,trial
undefined,11364,15.931666666666667,SubjectTopic,Set,test,games,surface,1569427155656,undefined,1,1,1569427144292,12,trial
undefined,4206,15.931666666666667,ObjectTopic,Set,control,control5,surface,1569427209594,undefined,1,1,1569427205388,13,trial
undefined,21343,15.931666666666667,ObjectTopic,Individual,control,control6,inverse,1569427295279,undefined,0.32,1,1569427273936,14,trial
undefined,3766,15.931666666666667,SubjectTopic,Individual,control,control3,surface,1569427354624,undefined,1,1,1569427350858,15,trial
undefined,10474,15.931666666666667,SubjectTopic,Individual,control,control1,inverse,1569427412673,undefined,0.32,1,1569427402199,16,trial
undefined,5888,15.931666666666667,SubjectTopic,Individual,test,princesses,inverse,1569427461493,undefined,0.19,1,1569427455605,17,trial
undefined,5328,17.4897,,,practice,practice1,,1569426969761,undefined,1,2,1569426964433,3,practice
undefined,45095,17.4897,,,practice,practice2,,1569427037577,undefined,1,2,1569426992482,4,practice
undefined,68841,17.4897,ObjectTopic,Set,test,toys,inverse,1569427151352,undefined,0.5,2,1569427082511,6,trial
undefined,18412,17.4897,ObjectTopic,Set,control,control3,inverse,1569427223387,undefined,1,2,1569427204975,7,trial
undefined,7408,17.4897,ObjectTopic,Individual,control,control2,surface,1569427269379,undefined,1,2,1569427261971,8,trial
undefined,7262,17.4897,ObjectTopic,Individual,test,princesses,inverse,1569427320280,undefined,0,2,1569427313018,9,trial
undefined,22542,17.4897,SubjectTopic,Set,control,control1,inverse,1569427390854,undefined,0,2,1569427368312,10,trial
undefined,15401,17.4897,ObjectTopic,Individual,test,games,inverse,1569427454111,undefined,0.49,2,1569427438710,11,trial
undefined,8976,17.4897,ObjectTopic,Individual,control,control4,surface,1569427514586,undefined,1,2,1569427505610,12,trial
undefined,18177,17.4897,ObjectTopic,Set,test,iceCream,surface,1569427576368,undefined,1,2,1569427558191,13,trial
undefined,7223,17.4897,ObjectTopic,Individual,test,puppies,inverse,1569427634625,undefined,0,2,1569427627402,14,trial
undefined,20147,17.4897,ObjectTopic,Set,control,control6,inverse,1569427718606,undefined,0,2,1569427698459,15,trial
undefined,8349,17.4897,ObjectTopic,Set,control,control5,inverse,1569427777131,undefined,0,2,1569427768782,16,trial
undefined,9346,17.4897,ObjectTopic,Set,test,fish,inverse,1569427825933,undefined,0.46,2,1569427816587,17,trial
undefined,4593,12.924883333333334,,,practice,practice1,,1569427460963,undefined,0.96,3,1569427456370,3,practice
undefined,2516,12.924883333333334,,,practice,practice2,,1569427485193,undefined,0.99,3,1569427482677,4,practice
undefined,3529,12.924883333333334,ObjectTopic,Individual,control,control1,inverse,1569427538653,undefined,0.95,3,1569427535124,6,trial
undefined,2358,12.924883333333334,SubjectTopic,Set,control,control5,inverse,1569427591503,undefined,0.93,3,1569427589145,7,trial
undefined,3779,12.924883333333334,SubjectTopic,Individual,control,control4,inverse,1569427646641,undefined,0.06,3,1569427642862,8,trial
undefined,2743,12.924883333333334,SubjectTopic,Set,test,iceCream,surface,1569427692366,undefined,0.94,3,1569427689623,9,trial
undefined,7595,12.924883333333334,ObjectTopic,Set,control,control6,inverse,1569427764341,undefined,0.97,3,1569427756746,10,trial
undefined,6345,12.924883333333334,ObjectTopic,Individual,test,princesses,surface,1569427818213,undefined,0.95,3,1569427811868,11,trial
undefined,1974,12.924883333333334,ObjectTopic,Set,test,games,surface,1569427865710,undefined,0.97,3,1569427863736,12,trial
undefined,3815,12.924883333333334,ObjectTopic,Set,control,control2,surface,1569427914054,undefined,0.95,3,1569427910239,13,trial
undefined,3839,12.924883333333334,SubjectTopic,Individual,test,toys,inverse,1569427960227,undefined,0.96,3,1569427956388,14,trial
undefined,2242,12.924883333333334,ObjectTopic,Set,test,fish,inverse,1569428002146,undefined,0.96,3,1569427999904,15,trial
undefined,2944,12.924883333333334,SubjectTopic,Set,test,puppies,inverse,1569428055233,undefined,0.03,3,1569428052289,16,trial
