"","workerid","answers_quiz1","answers_quiz2","answers_quiz3"
"1",0,"B","D","C"
"2",0,"C","A","A"
"3",0,"C","C","D"
"4",0,"D","B","B"
"5",0,"B","C","C"
"6",1,"B","C","A"
"7",1,"B","A","B"
"8",1,"C","A","B"
"9",1,"D","A","C"
"10",1,"D","C","A"
"11",2,"B","D","A"
"12",2,"C","C","B"
"13",2,"C","C","D"
"14",2,"A","B","C"
"15",2,"D","D","A"
"21",4,"A","D","B"
"22",4,"D","A","D"
"23",4,"D","A","D"
"24",4,"A","C","A"
"25",4,"C","B","C"
"26",5,"C","B","C"
"27",5,"C","C","A"
"28",5,"C","A","D"
"29",5,"D","C","D"
"30",5,"D","C","C"
"41",8,"B","B","A"
"42",8,"B","A","A"
"43",8,"C","A","D"
"44",8,"D","B","D"
"45",8,"D","A","A"
"46",9,"B","B","C"
"47",9,"D","D","D"
"48",9,"A","A","C"
"49",9,"D","C","A"
"50",9,"D","D","B"
"51",10,"A","C","C"
"52",10,"C","A","B"
"53",10,"C","C","D"
"54",10,"D","B","A"
"55",10,"B","C","B"
"56",11,"B","B","C"
"57",11,"C","B","D"
"58",11,"C","A","D"
"59",11,"D","B","A"
"60",11,"D","C","C"
"76",15,"C","B","B"
"77",15,"C","A","A"
"78",15,"C","A","B"
"79",15,"A","B","C"
"80",15,"B","C","D"
"81",16,"A","C","C"
"82",16,"D","B","C"
"83",16,"D","C","D"
"84",16,"C","C","B"
"85",16,"D","B","A"
"86",17,"D","B","C"
"87",17,"C","A","D"
"88",17,"D","A","D"
"89",17,"A","B","D"
"90",17,"B","C","B"
"91",18,"D","B","C"
"92",18,"C","D","D"
"93",18,"C","C","D"
"94",18,"D","B","C"
"95",18,"D","C","B"
"96",19,"B","B","C"
"97",19,"C","C","D"
"98",19,"C","A","D"
"99",19,"D","C","C"
"100",19,"B","C","C"
"101",20,"B","B","C"
"102",20,"C","C","D"
"103",20,"C","C","D"
"104",20,"D","B","B"
"105",20,"D","C","C"
"106",21,"B","C","B"
"107",21,"D","B","D"
"108",21,"C","C","A"
"109",21,"D","C","C"
"110",21,"D","C","B"
"111",22,"D","B","C"
"112",22,"C","C","D"
"113",22,"C","C","D"
"114",22,"D","B","B"
"115",22,"D","C","C"
"116",23,"B","B","C"
"117",23,"C","C","C"
"118",23,"C","A","D"
"119",23,"D","B","B"
"120",23,"C","C","C"
"126",25,"B","B","C"
"127",25,"C","C","D"
"128",25,"C","C","D"
"129",25,"A","B","D"
"130",25,"D","C","C"
"131",26,"B","C","C"
"132",26,"C","C","D"
"133",26,"B","D","D"
"134",26,"A","C","C"
"135",26,"D","C","C"
"136",27,"B","B","C"
"137",27,"C","C","D"
"138",27,"C","A","D"
"139",27,"D","B","B"
"140",27,"B","C","C"
"141",28,"B","B","C"
"142",28,"B","C","C"
"143",28,"C","C","D"
"144",28,"D","B","D"
"145",28,"D","C","B"
"146",29,"C","C","C"
"147",29,"B","A","B"
"148",29,"D","C","C"
"149",29,"B","A","A"
"150",29,"A","C","C"
"156",31,"A","B","C"
"157",31,"C","D","A"
"158",31,"C","D","D"
"159",31,"A","C","C"
"160",31,"C","B","A"
"161",32,"B","D","D"
"162",32,"D","C","C"
"163",32,"A","B","B"
"164",32,"C","D","D"
"165",32,"D","B","C"
"166",33,"A","B","C"
"167",33,"C","C","C"
"168",33,"C","C","C"
"169",33,"D","B","C"
"170",33,"D","C","C"
"171",34,"C","B","B"
"172",34,"C","C","B"
"173",34,"C","A","C"
"174",34,"C","C","B"
"175",34,"D","B","C"
"176",35,"A","C","C"
"177",35,"D","C","C"
"178",35,"C","A","A"
"179",35,"D","D","C"
"180",35,"B","A","D"
"181",36,"B","B","C"
"182",36,"D","B","D"
"183",36,"C","C","D"
"184",36,"D","C","D"
"185",36,"D","C","B"
"186",37,"B","B","C"
"187",37,"C","B","B"
"188",37,"C","A","D"
"189",37,"D","B","D"
"190",37,"B","C","C"
"196",39,"B","B","C"
"197",39,"C","C","D"
"198",39,"C","C","D"
"199",39,"D","B","D"
"200",39,"D","C","B"
"201",40,"D","B","C"
"202",40,"C","C","D"
"203",40,"C","C","D"
"204",40,"D","B","A"
"205",40,"C","C","C"
"206",41,"D","C","A"
"207",41,"D","D","A"
"208",41,"C","D","D"
"209",41,"D","B","D"
"210",41,"B","D","B"
"211",42,"A","D","D"
"212",42,"B","C","B"
"213",42,"B","C","B"
"214",42,"D","B","C"
"215",42,"C","B","D"
"216",43,"D","B","C"
"217",43,"C","C","D"
"218",43,"C","C","D"
"219",43,"A","D","A"
"220",43,"B","C","C"
"226",45,"B","B","D"
"227",45,"B","C","B"
"228",45,"C","A","C"
"229",45,"D","B","D"
"230",45,"C","C","C"
"231",46,"D","C","C"
"232",46,"C","B","D"
"233",46,"C","A","D"
"234",46,"D","B","C"
"235",46,"B","C","B"
"241",48,"D","C","C"
"242",48,"C","C","A"
"243",48,"C","A","D"
"244",48,"D","D","C"
"245",48,"D","A","D"
"251",50,"D","B","C"
"252",50,"C","B","D"
"253",50,"D","A","D"
"254",50,"D","A","D"
"255",50,"B","C","B"
"261",52,"A","C","C"
"262",52,"C","A","D"
"263",52,"C","A","D"
"264",52,"D","B","B"
"265",52,"B","C","A"
"266",53,"D","C","C"
"267",53,"C","C","D"
"268",53,"C","C","D"
"269",53,"D","B","D"
"270",53,"B","C","C"
