"","simulatedAnswer","item","normResponse0","normResponse1","simRank1","workerid","obj1","Answer.score_quiz3","guessRank1","utterance","blockNr","pref1","guessRank2","numFeatures","certainty","targetUttCode","simPreference2","order1","order2","targetFeature","response0","Answer.score_quiz1","response1","obj3","order0","pref0","trialNum","Answer.time_in_minutes","sex","response2","simPreference0","featuresPresent","evalNum","simPreference1","slide_number","obj2","name","simRank2","uttCode","targetFeatureNum","simRank0","guessRank0","trial_type","pref2","normResponse2","Answer.score_quiz2"
"1",232,6121,0.407407407407407,0.555555555555555,NA,0,231,4,NA,"polka-dotted",0,"red",NA,3,NA,"322b-2",0.5,231,232,"color",0.55,3,0.75,232,212,"blue",0,7.6622,"male",0.05,0,"['circle', 'solid', 'polka-dotted']",NA,1,3,212,"task",NA,"322b",3,NA,NA,"task","green",0.037037037037037,3
"2",122,14001,0.285714285714286,0.404761904761905,NA,0,221,4,NA,"cloud",0,"red",NA,3,NA,"321-3",0.5,123,221,"color",0.6,3,0.85,123,122,"blue",1,7.6622,"male",0.65,0,"['cloud', 'circle', 'striped']",NA,1,4,122,"task",NA,"321",3,NA,NA,"task","green",0.30952380952381,3
"3",322,4232,0.333333333333333,0.666666666666667,NA,0,221,4,NA,"striped",0,"red",NA,4,NA,"22a2b-2a",0.5,312,221,"color",0.45,3,0.9,322,322,"blue",2,7.6622,"male",0,0,"['circle', 'square', 'solid', 'striped']",NA,1,5,312,"task",NA,"22a2b",3,NA,NA,"task","green",0,3
"4",213,10392,0.275,0.35,NA,0,221,4,NA,"circle",0,"red",NA,4,NA,"22b1-3",0.5,122,221,"color",0.55,3,0.7,213,213,"blue",3,7.6622,"male",0.75,0,"['cloud', 'circle', 'solid', 'striped']",NA,1,6,122,"task",NA,"22b1",3,NA,NA,"task","green",0.375,3
"5",NA,NA,NA,NA,NA,0,NA,4,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7.6622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"6",NA,NA,NA,NA,"green",0,NA,4,"red",NA,NA,NA,"blue",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7.6622,NA,NA,NA,NA,2,NA,NA,NA,NA,"blue",NA,NA,"red","green",NA,NA,NA,3
"7",322,7771,0,0.4,NA,0,131,4,NA,"square",1,"striped",NA,4,NA,"22a2b-2b",0,131,332,"texture",0,3,0.6,332,322,"solid",0,7.6622,"male",0.9,1,"['cloud', 'square', 'blue', 'red']",NA,0.5,11,322,"task",NA,"22a2b",2,NA,NA,"task","polka-dotted",0.6,3
"8",121,23091,0,0.612903225806452,NA,0,121,4,NA,"blue",1,"striped",NA,4,NA,"22a2b-2a",0,233,221,"texture",0,3,0.95,233,121,"solid",1,7.6622,"male",0.6,1,"['cloud', 'circle', 'blue', 'green']",NA,0.5,12,221,"task",NA,"22a2b",2,NA,NA,"task","polka-dotted",0.387096774193548,3
"9",312,6371,0.3,0.35,NA,0,312,4,NA,"red",1,"striped",NA,4,NA,"311-3",0,122,232,"texture",0.6,3,0.7,232,312,"solid",2,7.6622,"male",0.7,1,"['cloud', 'circle', 'square', 'red']",NA,0.5,13,122,"task",NA,"311",2,NA,NA,"task","polka-dotted",0.35,3
"10",323,28681,0,0.366666666666667,NA,0,132,4,NA,"green",1,"striped",NA,4,NA,"22a2b-2b",0,132,323,"texture",0,3,0.55,333,333,"solid",3,7.6622,"male",0.95,1,"['cloud', 'square', 'red', 'green']",NA,0.5,14,323,"task",NA,"22a2b",2,NA,NA,"task","polka-dotted",0.633333333333333,3
"11",NA,NA,NA,NA,NA,0,NA,4,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7.6622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"12",NA,NA,NA,NA,"striped",0,NA,4,"striped",NA,NA,NA,"solid",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7.6622,NA,NA,NA,NA,0,NA,NA,NA,NA,"polka-dotted",NA,NA,"solid","polka-dotted",NA,NA,NA,3
