answers_quiz1,workerid
B,0
C,0
C,0
D,0
B,0
B,1
B,1
C,1
D,1
D,1
B,2
C,2
C,2
A,2
D,2
B,3
D,3
B,3
C,3
A,3
A,4
D,4
D,4
A,4
C,4
C,5
C,5
C,5
D,5
D,5
C,6
A,6
C,6
D,6
B,6
C,7
C,7
B,7
D,7
D,7
B,8
B,8
C,8
D,8
D,8
B,9
D,9
A,9
D,9
D,9
A,10
C,10
C,10
D,10
B,10
B,11
C,11
C,11
D,11
D,11
D,12
C,12
C,12
A,12
B,12
A,13
C,13
C,13
D,13
D,13
B,14
A,14
D,14
C,14
D,14
C,15
C,15
C,15
A,15
B,15
A,16
D,16
D,16
C,16
D,16
D,17
C,17
D,17
A,17
B,17
D,18
C,18
C,18
D,18
D,18
B,19
C,19
C,19
D,19
B,19
B,20
C,20
C,20
D,20
D,20
B,21
D,21
C,21
D,21
D,21
D,22
C,22
C,22
D,22
D,22
B,23
C,23
C,23
D,23
C,23
D,24
B,24
C,24
D,24
C,24
B,25
C,25
C,25
A,25
D,25
B,26
C,26
B,26
A,26
D,26
B,27
C,27
C,27
D,27
B,27
B,28
B,28
C,28
D,28
D,28
C,29
B,29
D,29
B,29
A,29
D,30
B,30
C,30
A,30
D,30
A,31
C,31
C,31
A,31
C,31
B,32
D,32
A,32
C,32
D,32
A,33
C,33
C,33
D,33
D,33
C,34
C,34
C,34
C,34
D,34
A,35
D,35
C,35
D,35
B,35
B,36
D,36
C,36
D,36
D,36
B,37
C,37
C,37
D,37
B,37
B,38
C,38
C,38
D,38
C,38
B,39
C,39
C,39
D,39
D,39
D,40
C,40
C,40
D,40
C,40
D,41
D,41
C,41
D,41
B,41
A,42
B,42
B,42
D,42
C,42
D,43
C,43
C,43
A,43
B,43
D,44
C,44
D,44
D,44
B,44
B,45
B,45
C,45
D,45
C,45
D,46
C,46
C,46
D,46
B,46
B,47
D,47
D,47
A,47
B,47
D,48
C,48
C,48
D,48
D,48
