assignmentid,workerid
324G5B4FB37U2TNOTO4P5TPPJIQ70W,0
3EWIJTFFVO6FB82YGWIVB3H655UE0P,1
3TOK3KHVJTHF5AF7V960VUL7HL6O73,2
3SUWZRL0MYCAPJODILYCK4RXI8GE6Q,3
3STRJBFXOWQJDHRZAKH8T9WGMDMTKZ,4
3OVHNO1VE607LNUOOVK3BK27N0CDZN,5
3TAYZSBPLL7NH1AUWE6EJ8E03UNS2O,6
30BUDKLTXDUE6FOZD2O7SYDXMD5E5A,7
33L7PJKHCGXZIGPY1VK534NPRDXT8L,8
352YTHGROVC8U6B1PYD3894WEX2H4O,9
3I3WADAZ9Q30I61O7GR3XA7BQFBO5O,10
3VAR3R6G1P0J5OKQ5EY69UH2S5CO8Q,11
3Z2R0DQ0JHDM7I5CVJM9URAL23EE29,12
3OONKJ5DKCI27MIX8QIG0W730BXOBP,13
3WQQ9FUS6ATZMUVH19TK3AH3L6T8B6,14
388U7OUMF704KC73222VAAGPKUKR0F,15
3UJ1CZ6IZHOFGYTHEX8CHFHCN4J5S7,16
37UEWGM5HT74R1SLYL6VOFZZPMQR1I,17
3LEP4MGT3GZB3PR8IH40P2V4WXQBDF,18
3C2NJ6JBKAGQ1OIPOIPSKE4UGVFN27,19
3IJXV6UZ1XIFR7OJ6SR1GEGL6O1IR1,20
3RUIQRXJBBN6EA1CMBRIMIZEH06LLS,21
33SA9F9TRXT8JY3J93BGIYQA6AAWEA,22
3VE8AYVF8MWPZB7X6BFGM08O04L8FO,23
31Q0U3WYDPEU9I86P78PJY8ZOAW71Z,24
3DIP6YHAPCRXTX71B0VA4INOO368E6,25
3D4CH1LGEASVRGM2MNRC4H3BLP3G9K,26
3Y5140Z9DXFUFU84T0NCBJG656DIP9,27
3JRJSWSMQHKBS01VZJ0ED1FD8HEE3K,28
36WLNQG78Z9GVV58ECFKVKDPW9RBE8,29
3WT783CTPBG1YXLUIL9P5WDMBXEBCF,30
3JZQSN0I3Q94SQDFP9R4EDPMONYGFC,31
3PXX5PX6LXXD5IOWY7DYZ1NYBUTBAD,32
3P4MQ7TPPXBIOSTO4LDUUC74TCEBB8,33
3MB8LZR5BFSVU4JU1BFH7IMZS01LKP,34
3R0T90IZ1SBXPET5Y713674JRA6GC1,35
3OHYZ19UGC4XOCD52CIK5LNXITCOAU,36
3A4NIXBJ76YQKSJXMNSXMVE3H5WLMU,37
3DIP6YHAPCRXTX71B0VA4INOO36E8C,38
3VD82FOHKQNLHRA3MQEBBGDLIWXOCW,39
3A1COHJ8NJU9D7Y3113GPLK1GJY8HM,40
33FBRBDW6OYIWZNNF9PFEUNL3RT8CD,41
39LNWE0K4UV77ZG0AMM6LP35DN5IU5,42
3WYP994K17Q8VO54IMA6R7JD0KL6YX,43
3GLB5JMZFXU7U6ZJY3WEQDM1CAIGD1,44
3EG49X351UBJVJFUDQO48TC4YER6XR,45
3EO896NRAWUO2XLHSZHWSUW37OMTJ0,46
3WJ1OXY92AFU3KQPVVTO8ZXX3O88AB,47
3IXQG4FA2TXZ0ZER61ZY36CE5CBB9Y,48
