OS,workerid,screenW,Browser,screenH
Windows,0,1600,Chrome,900
Windows,1,1364,Chrome,768
Windows,2,1366,Chrome,768
Windows,3,1364,Chrome,768
Windows,4,1280,Chrome,720
Mac,5,1440,Chrome,900
Windows,6,1366,Chrome,768
Windows,7,1366,Chrome,768
Windows,8,1920,Chrome,1080
Windows,9,1366,Chrome,768
Windows,10,1280,Chrome,720
Windows,11,1280,Chrome,720
Windows,12,1536,Chrome,864
Windows,13,1024,Chrome,768
Windows,14,1440,Chrome,900
Windows,15,1920,Chrome,1080
Windows,16,1366,Chrome,768
Windows,17,1280,Chrome,1024
Windows,18,1366,Chrome,768
Mac,19,1440,Chrome,900
Windows,20,1366,Chrome,768
Windows,21,1536,Chrome,864
Windows,22,1680,Firefox,1050
Mac,23,1680,Chrome,1050
Linux,24,1366,Chrome,768
Windows,25,1366,Chrome,768
Windows,26,1536,Chrome,864
Windows,27,1280,Chrome,720
Mac,28,2560,Chrome,1440
Windows,29,1368,Chrome,912
Windows,30,1366,Chrome,768
Windows,31,1600,Chrome,900
Windows,32,1366,Chrome,768
Linux,33,1920,Firefox,1080
Windows,34,1366,Chrome,768
Linux,35,1366,Chrome,768
Windows,36,1920,Chrome,1080
Windows,37,1366,Chrome,768
Windows,38,1366,Firefox,768
Mac,39,1920,Chrome,1080
Windows,40,1366,Chrome,768
Windows,41,1280,Chrome,720
Windows,42,1366,Chrome,768
Windows,43,1280,Chrome,720
Windows,44,1366,Chrome,768
Windows,45,1366,Chrome,768
Windows,46,1366,Chrome,768
Windows,47,1366,Chrome,768
Windows,48,1536,Chrome,864
