simulatedAnswer,item,normResponse0,normResponse1,simRank1,workerid,obj1,Answer.score_quiz3,guessRank1,utterance,blockNr,pref1,guessRank2,numFeatures,certainty,targetUttCode,simPreference2,order1,order2,targetFeature,response0,Answer.score_quiz1,response1,obj3,order0,pref0,trialNum,Answer.time_in_minutes,sex,response2,simPreference0,featuresPresent,evalNum,simPreference1,slide_number,obj2,name,simRank2,uttCode,targetFeatureNum,simRank0,guessRank0,trial_type,pref2,normResponse2,Answer.score_quiz2
232,6121,0.40740740740740744,0.5555555555555555,,0,231,4,,polka-dotted,0,red,,3,,322b-2,0.5,231,232,color,0.55,3,0.75,232,212,blue,0,7.6622,male,0.05,0,"['circle', 'solid', 'polka-dotted']",,1,3,212,task,,322b,3,,,task,green,0.037037037037037035,3
122,14001,0.2857142857142857,0.4047619047619047,,0,221,4,,cloud,0,red,,3,,321-3,0.5,123,221,color,0.6,3,0.85,123,122,blue,1,7.6622,male,0.65,0,"['cloud', 'circle', 'striped']",,1,4,122,task,,321,3,,,task,green,0.30952380952380953,3
322,4232,0.3333333333333333,0.6666666666666666,,0,221,4,,striped,0,red,,4,,22a2b-2a,0.5,312,221,color,0.45,3,0.9,322,322,blue,2,7.6622,male,0,0,"['circle', 'square', 'solid', 'striped']",,1,5,312,task,,22a2b,3,,,task,green,0,3
213,10392,0.275,0.35,,0,221,4,,circle,0,red,,4,,22b1-3,0.5,122,221,color,0.55,3,0.7,213,213,blue,3,7.6622,male,0.75,0,"['cloud', 'circle', 'solid', 'striped']",,1,6,122,task,,22b1,3,,,task,green,0.375,3
,,,,,0,,4,,,,,,,0.7,,,,,,,3,,,,,,7.6622,,,,,,,,,,,,,,,,,,3
,,,,green,0,,4,red,,,,blue,,,,,,,,,3,,,,,,7.6622,,,,,2,,,,,blue,,,red,green,,,,3
322,7771,0,0.39999999999999997,,0,131,4,,square,1,striped,,4,,22a2b-2b,0,131,332,texture,0,3,0.6,332,322,solid,0,7.6622,male,0.9,1,"['cloud', 'square', 'blue', 'red']",,0.5,11,322,task,,22a2b,2,,,task,polka-dotted,0.6,3
121,23091,0,0.6129032258064516,,0,121,4,,blue,1,striped,,4,,22a2b-2a,0,233,221,texture,0,3,0.95,233,121,solid,1,7.6622,male,0.6,1,"['cloud', 'circle', 'blue', 'green']",,0.5,12,221,task,,22a2b,2,,,task,polka-dotted,0.38709677419354843,3
312,6371,0.30000000000000004,0.35000000000000003,,0,312,4,,red,1,striped,,4,,311-3,0,122,232,texture,0.6,3,0.7,232,312,solid,2,7.6622,male,0.7,1,"['cloud', 'circle', 'square', 'red']",,0.5,13,122,task,,311,2,,,task,polka-dotted,0.35000000000000003,3
323,28681,0,0.3666666666666667,,0,132,4,,green,1,striped,,4,,22a2b-2b,0,132,323,texture,0,3,0.55,333,333,solid,3,7.6622,male,0.95,1,"['cloud', 'square', 'red', 'green']",,0.5,14,323,task,,22a2b,2,,,task,polka-dotted,0.6333333333333333,3
