workerid,anon_workerid
ASF5V3K4IFP4K,0
A37BGU8FSIP4I6,1
A3PYD7EU2WFST6,2
A41ERZYAHWRB9,3
AQ1PTX596CKUH,4
AZ8NBOTCBCLKG,5
A1W2L6BM7VQCXO,6
A18H2NUA3QTPYT,7
A26ST4UX73VPLW,8
AEKP72I9TAOT,9
A8028AFBBS29G,10
A3KF6O09H04SP7,11
A2FGKKWP33DFWS,12
A2LQXHIPZ4QJN8,13
AZB6CQ1A5ABK4,14
A3908297ZI3LES,15
A3V1IC4MJ0F6JH,16
A1NVJB5O4H7ZCJ,17
A3DCRZTX0HIHBJ,18
A37Z5PZ4B7VO49,19
A1B5O1E2T429ET,20
AYFDUTHXE54I,21
A2ATBS6XTIZE89,22
AMTTB8JUWRRM7,23
A3FXXVWB4808XQ,24
A1C5SQZ045W0L5,25
A2M5OXOREG5HYY,26
A207IHY6GERCFO,27
AY2U544TCVPMQ,28
A3HZFB2JLF3JMY,29
A3HV4K6ZCL0LA4,30
AVPWEUVWJPRXQ,31
A9KOG4O3UY5AX,32
A12XVSIL669PVI,33
A18BDKIZXVBBJD,34
AA4O2W236E3FW,35
A1KS9LITOVPAT8,36
AMV1E7FFPVAW4,37
A1MN2PWAV10VAB,38
A2MWAXV1YRK5GH,39
AOS2PVHT2HYTL,40
A2AKQDZAJK8PT6,41
A1CSCD4EOGH7U6,42
A1J8TVICSRC70W,43
AKTWA4NBCUQMV,44
A304UJAE051J89,45
A1IFIK8J49WBER,46
A2AMF590HYL3VX,47
A1ZT30BGR3266K,48
